Individual	Number	PopName
C001	1	mod_southest
C002	2	mod_southest
C007	3	mod_southest
C015	4	mod_southest
C016_new	5	outgroup
C017	6	mod_southest
C018_new	7	outgroup
C019	8	mod_southest
C037	9	mod_southest
C044	10	mod_southest
C045	11	mod_southest
C047	12	mod_southest
C049	13	herculeanus
C050	14	herculeanus
C055	15	mod_southest
C056	16	herculeanus
C057	17	mod_southest
C060	18	mod_southest
C061	19	mod_southest
C067	20	herculeanus
C068	21	herculeanus
C070	22	hybrid_mod
C071	23	herculeanus
C075	24	herculeanus
C077	25	novaeboracensis
C079	26	herculeanus
C080	27	herculeanus
C081	28	mod_northest
C090	29	mod_southest
C093	30	herculeanus
C095	31	herculeanus
C103	32	mod_west
C104	33	mod_northest
C105	34	herculeanus
C106	35	herculeanus
C107	36	mod_northest
C108	37	herculeanus
C109	38	mod_northest
C110	39	herculeanus
C111	40	mod_northest
C112	41	mod_northest
C113	42	hybrid_mod
C116	43	herculeanus
C117	44	novaeboracensis
C122	45	mod_southest
C124	46	herculeanus
C126	47	mod_southest
C158	48	mod_west
C161	49	mod_west
C172	50	mod_west
C174	51	mod_west
C177	52	mod_west
C181	53	mod_west
C183	54	mod_west
C184	55	mod_west
C187	56	mod_west
C189	57	mod_west
C192	58	mod_west
C193	59	mod_northest
C195	60	mod_west
C197	61	mod_west
C199	62	mod_northest
C200	63	mod_northest
C202	64	mod_northest
C207_new	65	outgroup
C225	66	mod_northest
C227	67	nova_lin
C228	68	herculeanus
C229	69	herculeanus
C230	70	herculeanus
C231	71	novaeboracensis
C233	72	mod_northest
C234	73	novaeboracensis
C235	74	mod_northest
C236	75	mod_northest
C237	76	mod_northest
C243	77	mod_west
C244	78	mod_west
C246	79	mod_northest
C250	80	mod_west
C251	81	mod_west
C252	82	mod_west
C253	83	mod_west
C254	84	mod_northest
C255	85	mod_northest
C274	86	mod_west
C276	87	mod_west
C278	88	mod_west
C280	89	mod_west
C282	90	mod_west
C297	91	mod_southest
C298b	92	mod_southest
C300	93	mod_southest
C301	94	mod_southest
C303b_new	95	outgroup
C307b	96	mod_southest
C309	97	mod_southest
C311b	98	mod_southest
C312	99	hybrid_mod
C314	100	hybrid_mod
C314b	101	hybrid_mod
C315	102	hybrid_mod
C315b	103	hybrid_mod
C316b	104	herculeanus
C323b	105	mod_northest
C324	106	mod_northest
C325	107	mod_northest
C327	108	mod_northest
C331	109	mod_northest
C332	110	novaeboracensis
C332b	111	novaeboracensis
C333b	112	mod_west
C334	113	herculeanus
C336b	114	herculeanus
C337	115	herculeanus
C339b	116	herculeanus
C340b	117	mod_northest
C342	118	hybrid_mod
C342b	119	hybrid_mod
C346	120	hybrid_mod
C346b	121	hybrid_mod
C347	122	hybrid_mod
C347b	123	hybrid_mod
C348	124	mod_southest
C350b	125	herculeanus
C373	126	nova_lin
C378	127	herculeanus
C379	128	herculeanus
C380	129	herculeanus
C382	130	mod_northest
C383	131	herculeanus
C384	132	mod_northest
C389	133	mod_northest
C391	134	mod_northest
C392	135	mod_northest
C393	136	mod_west
C394	137	mod_northest
C400	138	mod_west
C401	139	mod_west
C402	140	nova_lin
C404	141	mod_west
C405	142	mod_west
C406	143	mod_west
C407	144	mod_west
C408	145	nova_lin
C411	146	mod_west
C413	147	mod_west
C416	148	mod_west
C418	149	mod_west
C423	150	mod_southest
